"Display Name ","Inventory Item: Size ","Inventory Item: Wheel Size ","Inventory Item: Price Point ","Inventory Item: Web Category ",Current Quantity Available
GS_Bayswater_Storm 4 29 LG Cavalry Blue,,,Bikes 0400 - 0700,,1
GS_Bayswater_Big Seven 60 SM Purple,,,Bikes 0700 - 1000,,1
GT21 16 Siren Gloss Pitch Green,,"16""",Bikes 0 - 0400,"Root Catalog/Bikes/Kids Bikes/16"" Wheel (84 - 112cm)",3
GT21 20 Siren Gloss Pitch Green,,"20""",Bikes 0 - 0400,"Root Catalog/Bikes/Kids Bikes/20"" Wheel (108 - 129cm)",2
Dahon 21 Vybe D7 Red,,"20""",Bikes 0700 - 1000,Root Catalog/Bikes/Commuter & Recreation Bikes/Folding,1
Dahon 21 Mariner D8 Silver,,"20""",Bikes 0700 - 1000,Root Catalog/Bikes/Commuter & Recreation Bikes/Folding,1
Pedal Messenger Tokyo 58cm,LG,,Bikes 0 - 0400,Root Catalog/Bikes/Commuter & Recreation Bikes/Flatbar Road,4
Pedal Messenger Gotham 58cm,LG,,Bikes 0 - 0400,Root Catalog/Bikes/Commuter & Recreation Bikes/Flatbar Road,2
Silverback 21 Stride Delight 29 LG 46cm Black/Red,LG,,Bikes 0400 - 0700,Root Catalog/Bikes/Mountain Bikes/Hardtail,1
Cube 21 Aim Pro 29 LG black n blue,LG,,Bikes 0400 - 0700,Root Catalog/Bikes/Mountain Bikes/27.5 inch,1
Silverback 21 Stride Se 27.5 LG 46cm Orange/Black,LG,,Bikes 0400 - 0700,Root Catalog/Bikes/Mountain Bikes/27.5 inch,1
Norco Scene 3 Blue 2019 LG,LG,,Bikes 0400 - 0700,Root Catalog/Bikes/Commuter & Recreation Bikes/Hybrid,1
Bike18 Norco Yorkville ST C1 Black Silver LG,LG,,Bikes 0400 - 0700,Root Catalog/Bikes/Commuter & Recreation Bikes/Hybrid,1
Bike18 Norco Yorkville Charcoal Black LG,LG,,Bikes 0400 - 0700,Root Catalog/Bikes/Commuter & Recreation Bikes/Flatbar Road,1
Pedal Messenger 3 Berlin Midnight Blue 58cm,LG,,Bikes 0400 - 0700,Root Catalog/Bikes/Commuter & Recreation Bikes/Flatbar Road,2
Silverback 21 Stride Sport 29 LG 46cm Anthracite/Gloss Lime,LG,,Bikes 0700 - 1000,Root Catalog/Bikes/Mountain Bikes/27.5 inch,1
Norco20 Scene 3 Sunburst Yellow LG,LG,,Bikes 0700 - 1000,Root Catalog/Bikes/Commuter & Recreation Bikes/Hybrid,1
Bike18 Norco Scene 3 Wet Cement Grey LG,LG,,Bikes 0700 - 1000,Root Catalog/Bikes/Commuter & Recreation Bikes/Hybrid,1
Bike18 Norco Scene 3 W Raspberry Pink LG,LG,,Bikes 0700 - 1000,Root Catalog/Bikes/Commuter & Recreation Bikes/Hybrid,1
Norco Scene VLT 27.5 Black Silver 2020 LG,LG,,Bikes 3000 - 4000,Root Catalog/Bikes/Commuter & Recreation Bikes/Hybrid,1
Merida21 Matts 6.5 V LG Red Black,LG,"26""",Bikes 0400 - 0700,"Root Catalog/Bikes/Kids Bikes/26"" Wheel (145 - 160cm)",1
Merida21 Matts 6.5 V LG Black Green,LG,"26""",Bikes 0400 - 0700,"Root Catalog/Bikes/Kids Bikes/26"" Wheel (145 - 160cm)",2
Norco 21 Storm 3 29 LG Charcoal/Silver,LG,"29""",Bikes 0700 - 1000,Root Catalog/Bikes/Mountain Bikes/Hardtail,1
Merida21 Big Nine 60 LG Matt Bronze Black,LG,"29""",Bikes 0700 - 1000,Root Catalog/Bikes/Mountain Bikes/Hardtail,2
Merida21 Big Nine 20 LG Matt Anthracite Silver,LG,"29""",Bikes 0700 - 1000,Root Catalog/Bikes/Mountain Bikes/Hardtail,2
Merida21 Big Nine 20 LG Matt Fog Green Moss Green,LG,"29""",Bikes 0700 - 1000,Root Catalog/Bikes/Mountain Bikes/Hardtail,2
Silverback 21 Stride Comp 29 LG 46cm Grey/Gloss Lime,LG,"29""",Bikes 0700 - 1000,Root Catalog/Bikes/Mountain Bikes/Hardtail,1
Merida21 Speeder 20 LG Anthracite Black,LG,"29""",Bikes 0700 - 1000,Root Catalog/Bikes/Commuter & Recreation Bikes/Flatbar Road,1
Merida21 Big Nine 100 LG Anthracite Black,LG,"29""",Bikes 1000 - 1500,Root Catalog/Bikes/Mountain Bikes/Hardtail,1
Merida21 Big Nine SLX Edition LG Anthracite Black,LG,"29""",Bikes 1500 - 2000,Root Catalog/Bikes/Mountain Bikes/Hardtail,1
Norco 21 Fluid FS 3 29 LG Black/Charcoal,LG,"29""",Bikes 2000 - 3000,Root Catalog/Bikes/Mountain Bikes/Dual Suspension,1
Merida21 One Twenty 600 LG Matt Grey Glossy Black,LG,"29""",Bikes 3000 - 4000,Root Catalog/Bikes/Mountain Bikes/Dual Suspension,1
Norco 21 Sight A2 29 LG Red/Silver,LG,"29""",Bikes 5000 - 7000,Root Catalog/Bikes/Mountain Bikes/Dual Suspension,1
Pedal Pursuit 2 Metallic Blue 54cm,LG,700c,Bikes 0400 - 0700,Root Catalog/Bikes/Road Bikes/Drop Bar Road,2
Pedal Raven 2 Dark Red 54cm,LG,700c,Bikes 0400 - 0700,Root Catalog/Bikes/Commuter & Recreation Bikes/Hybrid,1
Pedal Jet 2 Black 54cm,LG,700c,Bikes 0400 - 0700,Root Catalog/Bikes/Commuter & Recreation Bikes/Flatbar Road,2
Pedal Raider 2 Navy Tan 58cm,LG,700c,Bikes 0700 - 1000,Root Catalog/Bikes/Road Bikes/Drop Bar Road,1
Merida21 Crossway 100 LG Glossy Black Matt Silver,LG,700c,Bikes 0700 - 1000,Root Catalog/Bikes/Commuter & Recreation Bikes/Hybrid,1
Merida21 Crossway 20 LG Silk Anthracite Grey Black,LG,700c,Bikes 0700 - 1000,Root Catalog/Bikes/Commuter & Recreation Bikes/Hybrid,1
Merida21 Scultura Rim 100 LG Silk Titan Black Green,LG,700c,Bikes 1000 - 1500,Root Catalog/Bikes/Road Bikes/Drop Bar Road,2
Merida21 Speeder 100 LG Dark Blue Blue White,LG,700c,Bikes 1000 - 1500,Root Catalog/Bikes/Commuter & Recreation Bikes/Flatbar Road,1
Merida21 Scultura Rim 400 LG Metallic Black Grey,LG,700c,Bikes 1500 - 2000,Root Catalog/Bikes/Road Bikes/Drop Bar Road,2
Norco 21 Search XR A1 LG Orange/Grey,LG,700c,Bikes 2000 - 3000,Root Catalog/Bikes/Road Bikes/Adventure Road,1
Merida21 eSpresso 300 SE EQ 504Wh LG Anthracite Black,LG,700c,Bikes 3000 - 4000,Root Catalog/Electric Bikes/Electric Hybrid Bikes,1
Merida21 eOne Sixty 700 LG Glossy Metallic Teal Anthracite,LG,"29"" / 27.5""",Bikes 7000 plus,Root Catalog/Electric Bikes/Electric Mountain Bikes/Electric Dual Suspension Mountain Bike,1
Merida21 Big Seven 20 LG Teal Blue Lime,LG,"27.5"" (650b)",Bikes 0700 - 1000,Root Catalog/Bikes/Mountain Bikes/27.5 inch,1
Merida21 Big Seven 60 LG Purple Teal Blue,LG,"27.5"" (650b)",Bikes 0700 - 1000,Root Catalog/Bikes/Mountain Bikes/27.5 inch,1
Merida21 Matts 7.70 LG Orange Red,LG,"27.5"" (650b)",Bikes 1000 - 1500,Root Catalog/Bikes/Mountain Bikes/27.5 inch,1
Merida21 One Forty 700 LG Glossy Race Red Black,LG,"27.5"" (650b)",Bikes 3000 - 4000,Root Catalog/Bikes/Mountain Bikes/Dual Suspension,2
Pedal Messenger Tokyo 55cm,MD,,Bikes 0 - 0400,Root Catalog/Bikes/Commuter & Recreation Bikes/Flatbar Road,1
