Display Name ,Inventory Item: Frame Size ,Inventory Item: Wheel Size ,Inventory Item: Price Point ,Inventory Item: Web Category ,Current Quantity Available 
Cruzee Bike Rose Gold,,,Bikes 0 - 0400,"Root Catalog/Bikes/Kids Bikes/12"" Wheel (78 - 94cm)",1
Norco 20 Sight VLT C2 MD 27.5 Deep Red EU,,,Bikes 7000 plus,Root Catalog/Electric Bikes/Electric Mountain Bikes,1
Norco Sight VLT C1 29 Slate Blue Orange 2020 XL,,,Bikes 7000 plus,Root Catalog/Electric Bikes/Electric Mountain Bikes/Electric Dual Suspension Mountain Bike,1
GS_Bayswater_Storm 4 29 LG Cavalry Blue,,,Bikes 0400 - 0700,,1
Norco Scene 3 Blue 2019 LG,,,Bikes 0400 - 0700,Root Catalog/Bikes/Commuter & Recreation Bikes/Hybrid,1
Norco Scene 3 Blue 2019 SM,,,Bikes 0400 - 0700,Root Catalog/Bikes/Commuter & Recreation Bikes/Hybrid,1
Bike18 Norco Yorkville ST C1 Black Silver LG,,,Bikes 0400 - 0700,Root Catalog/Bikes/Commuter & Recreation Bikes/Hybrid,1
Bike18 Norco Yorkville ST C2 Blue Silver WMD,,,Bikes 0400 - 0700,Root Catalog/Bikes/Commuter & Recreation Bikes/Hybrid,2
Bike18 Norco Yorkville ST C2 Blue Silver WSM,,,Bikes 0400 - 0700,Root Catalog/Bikes/Commuter & Recreation Bikes/Hybrid,1
Bike18 Norco Yorkville ST C1 Black Silver WMD,,,Bikes 0400 - 0700,Root Catalog/Bikes/Commuter & Recreation Bikes/Hybrid,2
Bike18 Norco Yorkville ST C1 Black Silver WSM,,,Bikes 0400 - 0700,Root Catalog/Bikes/Commuter & Recreation Bikes/Hybrid,2
Bike18 Norco Yorkville Charcoal Black LG,,,Bikes 0400 - 0700,Root Catalog/Bikes/Commuter & Recreation Bikes/Flatbar Road,1
GS_Bayswater_Big Seven 60 SM Purple,,,Bikes 0700 - 1000,,1
Norco Scene 3 Blue 2019 MD,,,Bikes 0700 - 1000,Root Catalog/Bikes/Commuter & Recreation Bikes/Hybrid,1
Norco20 Scene 3 Sunburst Yellow LG,,,Bikes 0700 - 1000,Root Catalog/Bikes/Commuter & Recreation Bikes/Hybrid,1
Norco20 Scene 3 Sunburst Yellow MD,,,Bikes 0700 - 1000,Root Catalog/Bikes/Commuter & Recreation Bikes/Hybrid,1
Norco20 Scene 3 Sunburst Yellow SM,,,Bikes 0700 - 1000,Root Catalog/Bikes/Commuter & Recreation Bikes/Hybrid,1
Bike18 Norco Scene 3 Raspberry Pink WMD,,,Bikes 0700 - 1000,Root Catalog/Bikes/Commuter & Recreation Bikes/Hybrid,1
Bike18 Norco Scene 3 Raspberry Pink WSM,,,Bikes 0700 - 1000,Root Catalog/Bikes/Commuter & Recreation Bikes/Hybrid,1
Bike18 Norco Scene 3 Wet Cement Grey LG,,,Bikes 0700 - 1000,Root Catalog/Bikes/Commuter & Recreation Bikes/Hybrid,1
Bike18 Norco Scene 3 Wet Cement Grey MD,,,Bikes 0700 - 1000,Root Catalog/Bikes/Commuter & Recreation Bikes/Hybrid,1
Bike18 Norco Scene 3 W Raspberry Pink LG,,,Bikes 0700 - 1000,Root Catalog/Bikes/Commuter & Recreation Bikes/Hybrid,1
Norco Scene VLT 27.5 Blue Yellow 2020 MD,,,Bikes 3000 - 4000,Root Catalog/Electric Bikes/Electric Hybrid Bikes,1
Norco Scene VLT 27.5 Black Silver 2020 MD,,,Bikes 3000 - 4000,Root Catalog/Bikes/Commuter & Recreation Bikes/Hybrid,1
GS_BAYSW_Norco OPTIC C3 SM,,,Bikes 4000 - 5000,,1
Pedal Glide Alloy Pink Balance,,"12""",Bikes 0 - 0400,Root Catalog/Bikes/Kids Bikes/Balance Bikes,1
GT21 Siren 12 F Purple 12in,,"12""",Bikes 0 - 0400,"Root Catalog/Bikes/Kids Bikes/12"" Wheel (78 - 94cm)",1
